idna_subject,checker_type,destination,tested_at
206.238.36.166,AVAILABILITY,origin.list,2023-06-09 06:35:08.009674
206.238.36.168,AVAILABILITY,origin.list,2023-06-09 06:35:08.862750
206.238.36.165,AVAILABILITY,origin.list,2023-06-09 06:35:14.706094
206.238.36.167,AVAILABILITY,origin.list,2023-06-09 06:35:14.744648
206.238.36.169,AVAILABILITY,origin.list,2023-06-09 06:35:18.784493
206.238.36.171,AVAILABILITY,origin.list,2023-06-09 06:35:19.261724
206.238.36.170,AVAILABILITY,origin.list,2023-06-09 06:35:20.055512
206.238.36.172,AVAILABILITY,origin.list,2023-06-09 06:35:26.005953
206.238.36.173,AVAILABILITY,origin.list,2023-06-09 06:35:26.119873
206.238.36.174,AVAILABILITY,origin.list,2023-06-09 06:35:30.038132
206.238.36.175,AVAILABILITY,origin.list,2023-06-09 06:35:30.559514
206.238.36.176,AVAILABILITY,origin.list,2023-06-09 06:35:31.291852
206.238.36.177,AVAILABILITY,origin.list,2023-06-09 06:35:37.247425
206.238.36.179,AVAILABILITY,origin.list,2023-06-09 06:35:37.288653
206.238.36.178,AVAILABILITY,origin.list,2023-06-09 06:35:41.226178
206.238.36.180,AVAILABILITY,origin.list,2023-06-09 06:35:41.720250
206.238.36.181,AVAILABILITY,origin.list,2023-06-09 06:35:42.623170
206.238.36.184,AVAILABILITY,origin.list,2023-06-09 06:35:48.511577
206.238.36.183,AVAILABILITY,origin.list,2023-06-09 06:35:48.626160
206.238.36.182,AVAILABILITY,origin.list,2023-06-09 06:35:52.503040
206.238.36.185,AVAILABILITY,origin.list,2023-06-09 06:35:52.958459
206.238.36.186,AVAILABILITY,origin.list,2023-06-09 06:35:53.855503
206.238.36.187,AVAILABILITY,origin.list,2023-06-09 06:35:59.729216
206.238.36.188,AVAILABILITY,origin.list,2023-06-09 06:35:59.952374
206.238.36.189,AVAILABILITY,origin.list,2023-06-09 06:36:03.772371
206.238.36.190,AVAILABILITY,origin.list,2023-06-09 06:36:04.198914
206.238.36.191,AVAILABILITY,origin.list,2023-06-09 06:36:05.093931
206.238.36.64,AVAILABILITY,origin.list,2023-06-09 06:36:10.972460
206.238.36.67,AVAILABILITY,origin.list,2023-06-09 06:36:11.209072
206.238.36.65,AVAILABILITY,origin.list,2023-06-09 06:36:15.003794
206.238.36.66,AVAILABILITY,origin.list,2023-06-09 06:36:15.431894
206.238.36.68,AVAILABILITY,origin.list,2023-06-09 06:36:16.291565
206.238.36.69,AVAILABILITY,origin.list,2023-06-09 06:36:22.171476
206.238.36.72,AVAILABILITY,origin.list,2023-06-09 06:36:22.413593
206.238.36.70,AVAILABILITY,origin.list,2023-06-09 06:36:26.266580
206.238.36.71,AVAILABILITY,origin.list,2023-06-09 06:36:26.685938
206.238.36.73,AVAILABILITY,origin.list,2023-06-09 06:36:27.533330
206.238.36.76,AVAILABILITY,origin.list,2023-06-09 06:36:33.327272
206.238.36.74,AVAILABILITY,origin.list,2023-06-09 06:36:33.653872
206.238.36.75,AVAILABILITY,origin.list,2023-06-09 06:36:37.523726
206.238.36.78,AVAILABILITY,origin.list,2023-06-09 06:36:37.947303
206.238.36.77,AVAILABILITY,origin.list,2023-06-09 06:36:38.806319
206.238.36.79,AVAILABILITY,origin.list,2023-06-09 06:36:44.575983
206.238.36.81,AVAILABILITY,origin.list,2023-06-09 06:36:45.017032
206.238.36.83,AVAILABILITY,origin.list,2023-06-09 06:36:48.710589
206.238.36.80,AVAILABILITY,origin.list,2023-06-09 06:36:49.201173
206.238.36.82,AVAILABILITY,origin.list,2023-06-09 06:36:50.048583
206.238.36.84,AVAILABILITY,origin.list,2023-06-09 06:36:55.843113
206.238.36.86,AVAILABILITY,origin.list,2023-06-09 06:36:56.244526
206.238.36.85,AVAILABILITY,origin.list,2023-06-09 06:36:59.951569
206.238.36.89,AVAILABILITY,origin.list,2023-06-09 06:37:00.460172
206.238.36.87,AVAILABILITY,origin.list,2023-06-09 06:37:01.316815
206.238.36.88,AVAILABILITY,origin.list,2023-06-09 06:37:07.083144
206.238.36.91,AVAILABILITY,origin.list,2023-06-09 06:37:07.494655
206.238.36.90,AVAILABILITY,origin.list,2023-06-09 06:37:11.185000
206.238.36.93,AVAILABILITY,origin.list,2023-06-09 06:37:11.630008
206.238.36.92,AVAILABILITY,origin.list,2023-06-09 06:37:12.579545
206.238.36.94,AVAILABILITY,origin.list,2023-06-09 06:37:18.333268
206.238.36.95,AVAILABILITY,origin.list,2023-06-09 06:37:18.699647
206.238.36.97,AVAILABILITY,origin.list,2023-06-09 06:37:22.422317
206.238.36.96,AVAILABILITY,origin.list,2023-06-09 06:37:22.834436
206.238.36.98,AVAILABILITY,origin.list,2023-06-09 06:37:23.838015
206.238.36.99,AVAILABILITY,origin.list,2023-06-09 06:37:29.581111
206.238.37.100,AVAILABILITY,origin.list,2023-06-09 06:37:29.934267
206.238.37.101,AVAILABILITY,origin.list,2023-06-09 06:37:33.662153
206.238.37.103,AVAILABILITY,origin.list,2023-06-09 06:37:34.097872
206.238.37.102,AVAILABILITY,origin.list,2023-06-09 06:37:35.099962
206.238.37.104,AVAILABILITY,origin.list,2023-06-09 06:37:40.842779
206.238.37.105,AVAILABILITY,origin.list,2023-06-09 06:37:41.102226
206.238.37.108,AVAILABILITY,origin.list,2023-06-09 06:37:44.929153
206.238.37.107,AVAILABILITY,origin.list,2023-06-09 06:37:45.322339
206.238.37.110,AVAILABILITY,origin.list,2023-06-09 06:37:46.271341
206.238.37.106,AVAILABILITY,origin.list,2023-06-09 06:37:52.156906
206.238.37.109,AVAILABILITY,origin.list,2023-06-09 06:37:52.298165
206.238.37.112,AVAILABILITY,origin.list,2023-06-09 06:37:56.153474
206.238.37.114,AVAILABILITY,origin.list,2023-06-09 06:37:56.693269
206.238.37.111,AVAILABILITY,origin.list,2023-06-09 06:37:57.512705
206.238.37.113,AVAILABILITY,origin.list,2023-06-09 06:38:03.431567
206.238.37.115,AVAILABILITY,origin.list,2023-06-09 06:38:03.533217
206.238.37.116,AVAILABILITY,origin.list,2023-06-09 06:38:07.409297
206.238.37.120,AVAILABILITY,origin.list,2023-06-09 06:38:07.913401
206.238.37.117,AVAILABILITY,origin.list,2023-06-09 06:38:08.757049
206.238.37.118,AVAILABILITY,origin.list,2023-06-09 06:38:14.632140
206.238.37.119,AVAILABILITY,origin.list,2023-06-09 06:38:14.840635
206.238.37.121,AVAILABILITY,origin.list,2023-06-09 06:38:18.744323
206.238.37.122,AVAILABILITY,origin.list,2023-06-09 06:38:19.120550
206.238.37.124,AVAILABILITY,origin.list,2023-06-09 06:38:20.058031
206.238.37.123,AVAILABILITY,origin.list,2023-06-09 06:38:25.917396
206.238.37.131,AVAILABILITY,origin.list,2023-06-09 06:38:26.109826
206.238.37.128,AVAILABILITY,origin.list,2023-06-09 06:38:29.962015
206.238.37.125,AVAILABILITY,origin.list,2023-06-09 06:38:30.406188
206.238.37.127,AVAILABILITY,origin.list,2023-06-09 06:38:31.308717
206.238.37.126,AVAILABILITY,origin.list,2023-06-09 06:38:37.173424
